population_lsa,geocode,interlibrary_relation_code,legal_basis_code,admin_structure_code,fscs_definition_code,overdue_policy,beac_code,geo_type,locale_code,metro,county_population,num_central_lib,num_lib_branches,num_bookmobiles,visits_per_capita,visits_per_capita_binary,print_volumes_pc,ebook_volumes_pc,audio_physical_pc,audio_digital_pc,video_physical_pc,video_digital_pc,total_e_collection_pc,tot_physical_pc,other_physical_pc,mls_librarians_fte_pc,total_staff_fte_pc,other_paid_fte_pc
22946,CD1,ME,OT,SO,Y,N,02,COUNTY SUBDIVISION,21,0,210232,1,0,0,4.837095790115924,1,3.6195851128737035,0.45585287196025454,0.4589470931752811,0.22356837793079404,0.42704610825416195,0.09600801882681077,0.005578314303146518,4.547589993898718,0.04201167959557221,2.322844940294605e-4,2.322844940294605e-4,4.1968099015078885e-4
3847,SU1,ME,NP,SO,Y,N,02,SCHOOL DISTRICT (UNIFIED),42,0,210232,1,0,0,0.7325188458539121,0,2.9690668053028335,2.3854951910579674,0.0995580972186119,0.7761892383675592,0.28229789446321807,0,0.03067325188458539,3.3553418247985443,0.004419027813880946,0,1.6376397192617624e-4,1.1697426566155446e-4
4762,CD1,ME,NP,SO,Y,N,02,COUNTY SUBDIVISION,21,0,1224825,1,0,0,4.6824863502729945,1,3.640487190256195,39.702435951280975,0.2253254934901302,25.869382612347753,0.4313313733725325,0.041579168416631666,0.027299454010919783,4.307013859722805,0.009869802603947922,3.7799244015119697e-4,3.7799244015119697e-4,3.863922721545569e-4
21510,CD1,ME,NP,SO,Y,N,02,COUNTY SUBDIVISION,21,0,1224825,1,0,0,2.380520688052069,0,0.7265457926545793,8.803300790330079,0.004463040446304045,5.721664342166434,0.12315202231520223,0.013482101348210134,0.00604370060437006,0.8665271966527197,0.012366341236634123,8.740120874012086e-5,2.180381218038122e-4,4.9279404927940496e-5
33577,CD1,ME,NP,SO,Y,N,02,COUNTY SUBDIVISION,21,0,1224825,1,0,0,3.4109062751288084,1,2.093307919111296,5.681895345027846,0.2071954016142002,3.742085356047294,0.21231795574351492,0.028918604997468504,0.0038716978884355364,2.5188968639247102,0.006075587455698842,1.7065253000565864e-4,1.7065253000565864e-4,3.5679185156505943e-4
4804,CD1,ME,NP,SO,Y,N,02,COUNTY SUBDIVISION,21,0,1224825,1,0,0,7.085761865112406,1,3.3224396336386346,39.46378018318068,0.1115736885928393,25.713572023313905,0.5609908409658618,0.0763946711074105,0.027060782681099085,4.054746044962531,0.05974188176519567,5.203996669442131e-4,8.846794338051623e-4,6.557035803497086e-4
8134,CD1,ME,NP,SO,Y,Y,02,COUNTY SUBDIVISION,21,0,1224825,1,0,0,9.417260880255716,1,2.2922301450700764,23.411728546840422,0.088148512417015,15.405335628227194,0.3809933611999016,0.11076960904843865,0.01598229653307106,2.773174329972953,0.011802311285960166,2.4588148512417015e-4,3.688222276862552e-4,3.7251044996311776e-4
6181,CD1,ME,OT,SO,Y,N,02,COUNTY SUBDIVISION,21,0,1224825,1,0,0,2.016825756350105,0,2.633392654910209,30.571428571428573,0.08574664293803591,19.7919430512862,0.24429703931402685,0.0066332308687914576,0.021032195437631452,2.9794531629186216,0.016016825756350106,0,1.6178611875101117e-4,6.956803106293479e-4
6667,SU1,ME,OT,SO,Y,N,02,SCHOOL DISTRICT (UNIFIED),21,0,1224825,1,0,0,5.448327583620819,1,3.15839208039598,28.36523173841308,0.15074246287685616,18.4064796760162,0.5791210439478026,0.027298635068246587,0.01949902504874756,3.950652467376631,0.0623968801559922,1.8749062546872657e-4,2.2498875056247187e-4,1.694915254237288e-4
6099,CD1,ME,NP,SO,Y,N,02,COUNTY SUBDIVISION,21,0,1224825,1,0,0,6.575996064928677,1,3.2011805213969504,31.034923757993113,0.23905558288243975,20.143302180685357,0.43203803902279064,0.010329562223315297,0.02131496966715855,3.8808001311690443,0.00852598786686342,1.6396130513198886e-4,3.279226102639777e-4,2.590588621085424e-4
8244,CD1,ME,NP,SO,Y,N,02,COUNTY SUBDIVISION,21,0,1224825,1,0,0,1.3592916060164968,0,3.678675400291121,22.97222222222222,0.1653323629306162,14.949053857350801,0.2965793304221252,0.03129548762736536,0.01576904415332363,4.141314895681708,7.27802037845706e-4,0,1.2130033964095099e-4,4.366812227074236e-4
20811,OTH,ME,NP,MO,Y,N,02,OTHER,21,0,1224825,1,1,0,2.513334294363558,0,1.5254432751910048,9.149007736293306,0.0518956321176301,5.98375858920763,0.181058094277065,0.04531257508048628,0.006246696458603623,1.7616645043486618,0.0032675027629618953,1.3214165585507664e-4,1.3214165585507664e-4,2.9936091490077366e-4
4941,CD1,ME,OT,SO,Y,N,02,COUNTY SUBDIVISION,21,0,1224825,1,0,0,6.719287593604533,1,4.926735478648047,38.34365513054038,0.329892734264319,24.912770694191458,0.4624569925116373,0.1064561829589152,0.026310463468933416,5.752884031572556,0.033798826148552924,4.6549281521959113e-4,0.0010726573568103622,2.8941509815826754e-4
12424,CD1,ME,OT,SO,Y,N,02,COUNTY SUBDIVISION,21,0,1224825,1,0,0,2.0311493882807468,0,2.437298776561494,15.227865421764328,0.11638763683193819,9.89930779137154,0.2934642627173213,0.015132002575660013,0.010463618802318095,2.8495653573728266,0.0024146812620734065,7.083065035415325e-5,1.4085640695428203e-4,1.9961365099806827e-4
51459,OTH,ME,NP,MO,Y,Y,02,OTHER,21,0,1224825,1,2,0,0.5100565498746575,0,1.2733243941778891,3.6835344643308265,0.0896247498008123,2.411745272935735,0.2370819487358868,0.010007967508113256,0.0025262830603004333,1.6043063409704814,0.004275248255893041,1.8266969820633903e-5,1.8266969820633903e-5,1.4069453351211645e-4
31741,SU1,ME,NP,SO,Y,N,02,SCHOOL DISTRICT (UNIFIED),21,0,1224825,1,0,0,5.710784159289247,1,2.28959390063325,6.031883053463974,0.17160769982042154,4.011562332629722,0.25370971298950884,0.03660880249519549,0.004190164141016351,2.7470779118490283,0.032166598405847326,2.630666960713273e-4,3.575816766957563e-4,2.2778110330487383e-4
27240,CD1,ME,NP,SO,Y,Y,02,COUNTY SUBDIVISION,21,0,1224825,1,0,0,2.452643171806167,0,1.6929882525697504,6.999045521292217,0.11674008810572688,4.583149779735683,0.18733480176211453,0.03777533039647577,0.0047723935389133625,2.0109397944199707,0.013876651982378854,1.1013215859030837e-4,1.1013215859030837e-4,1.2848751835535977e-4
34075,CD1,ME,OT,SO,Y,N,02,COUNTY SUBDIVISION,21,0,1224825,1,0,0,8.857872340425532,1,3.5430667644900953,5.647512839325018,0.17778429933969186,3.731327953044754,0.29778429933969186,0.4021129860601614,0.0040498899486427,4.059809244314013,0.041173881144534116,3.59501100513573e-4,3.59501100513573e-4,3.680117388114453e-4
10074,CD1,ME,NP,SO,Y,N,02,COUNTY SUBDIVISION,21,0,1224825,1,0,0,0.5419892793329363,0,1.2908477268215208,18.760174707166964,0.07841969426245782,12.17182846932698,0.30325590629342863,0.017768513003772086,0.012904506650784197,1.6733174508636093,7.941234862021044e-4,0,0,3.2757593805836805e-4
9250,SU1,ME,OT,SO,Y,N,02,SCHOOL DISTRICT (UNIFIED),21,0,1224825,1,0,0,6.486486486486487,1,3.6135135135135137,20.49145945945946,0.21524324324324323,13.403891891891892,0.29924324324324325,0.03664864864864865,0.014054054054054054,4.137729729729729,0.00972972972972973,2.1621621621621621e-4,4.6486486486486484e-4,4.194594594594594e-4
29438,SU1,ME,NP,MO,Y,N,02,SCHOOL DISTRICT (UNIFIED),21,0,1224825,1,1,0,3.5922617025613155,1,1.7863645628099736,6.47452272572865,0.13747537196820436,4.233303892927509,0.23792377199538012,0.036211699164345405,0.004450030572729125,2.1841497384333173,0.022386031659759494,1.98383042326245e-4,2.802500169848495e-4,2.9485698756709014e-4
41059,CD1,ME,NP,SO,Y,N,02,COUNTY SUBDIVISION,21,0,1224825,1,0,0,2.024062933826932,0,1.901142258700894,4.629995859616649,0.28958328259334126,3.021310796658467,0.3245086339170462,0.008232056309213571,0.003166175503543681,2.5240751114250224,0.008840936213741202,7.306558854331572e-5,1.7048637326773667e-4,2.520762804744392e-4
392273,PL2,ME,NP,MO,Y,N,02,PLACE,11,0,1224825,1,18,0,3.6505316450533174,1,3.3635223428581624,0.5305208362543433,0.1482284021587007,0.33748435400856036,0.21594399818493754,0.015015053291967584,9.71262360651893e-4,3.8966077196238333,0.16891297642203262,2.937240136333625e-4,2.937240136333625e-4,6.630586351851899e-4
26633,SU1,ME,NP,SO,Y,N,02,SCHOOL DISTRICT (UNIFIED),21,0,1224825,1,0,0,2.377501595764653,0,2.3472383884654375,7.145984305185296,0.16393196410468217,4.699020012766117,0.24424586039875343,0.036158149663950735,0.0048811624676153645,2.7749033154357376,0.019487102466864418,1.5957646528742537e-4,1.5957646528742537e-4,3.1276987196335375e-4
90007,OTH,ME,NP,SO,Y,N,02,OTHER,21,0,1224825,1,0,0,2.4819069627917827,0,1.823502616463164,2.153265857100003,0.1270790049662804,1.4406435055051274,0.16980901485440023,0.027164553868032487,0.0014887730954259114,2.1412779006077307,0.02088726432388592,1.656537824835846e-4,1.656537824835846e-4,2.895330363193974e-4
28132,CD1,ME,NP,SO,Y,N,02,COUNTY SUBDIVISION,21,0,1224825,1,0,0,4.265605004976539,1,3.830371107635433,6.800511872600597,0.19109910422294896,4.487558652068818,0.27417176169486707,0.0450732262192521,0.0046210720887245845,4.31910280108062,0.023460827527370966,1.969287643964169e-4,1.969287643964169e-4,3.540452154130528e-4
13727,CD1,ME,OT,SO,Y,Y,02,COUNTY SUBDIVISION,21,0,1224825,1,0,0,3.193851533474175,1,3.2988999781452613,13.794929700590078,0.29205215997668826,8.981132075471699,0.6428935674218693,0.044437968966270856,0.009470386828877395,4.250163910541269,0.01631820499745028,1.7338092809790923e-4,4.188824943541925e-4,2.6589932250309606e-4
9745,SU1,ME,NP,SO,Y,Y,02,SCHOOL DISTRICT (UNIFIED),21,0,1224825,1,0,0,1.2557208825038482,0,2.6109799897383272,19.41693175987686,0.09779374037968189,12.588712160082093,0.20974858902001026,0.00913288866085172,0.013340174448435094,2.9279630579784506,0.009440738840430991,0,1.026167265264238e-4,3.4889687018984094e-4
10520,OTH,ME,OT,SO,Y,N,02,OTHER,21,0,1224825,1,0,0,3.3250950570342206,1,1.4962927756653992,18.09980988593156,0.08811787072243346,11.879182509505704,0.35865019011406846,0.09534220532319392,0.012357414448669201,1.9628326996197718,0.01977186311787072,1.758555133079848e-4,1.758555133079848e-4,2.7566539923954374e-4
21160,CD1,ME,NP,SO,Y,Y,02,COUNTY SUBDIVISION,21,0,1224825,1,0,0,3.6244328922495272,1,2.3151701323251417,8.978166351606806,0.1218336483931947,5.871502835538752,0.18251417769376183,0.03468809073724007,0.006143667296786389,2.631427221172023,0.011909262759924386,2.542533081285444e-4,3.0151228733459355e-4,3.04820415879017e-4
14349,CD1,ME,OT,MO,Y,N,02,COUNTY SUBDIVISION,21,0,1224825,1,1,0,1.4152205728622205,0,2.9810439751899085,13.191650986131437,0.11485120914349432,8.595442191093456,0.54749459892675445,0.028224963412084466,0.009059864798940692,3.6670151230050876,0.02362533974492996,2.090738030524775e-4,2.787650707366367e-4,4.4463028782493555e-4
8249,CD1,ME,OT,SO,Y,N,02,COUNTY SUBDIVISION,21,0,1224825,1,0,0,8.635955873439205,1,2.872348163413747,22.940598860467937,0.25348527094193235,14.890774639350225,0.5090313977451812,0.011395320644926658,0.015759485998302826,3.6542611225603103,0.01939629045944963,2.3639228997454235e-4,2.3639228997454235e-4,3.758031276518366e-4
8504,CD1,ME,NP,SO,Y,N,02,COUNTY SUBDIVISION,21,0,1224825,1,0,0,4.436735653809972,1,6.484830667920979,22.29233301975541,0.4235653809971778,14.547624647224835,0.7671683913452493,0.05526810912511759,0.01528692380056444,7.686853245531514,0.011288805268109126,3.3866415804327375e-4,3.3866415804327375e-4,5.5620884289746e-4
14121,SU1,ME,NP,SO,Y,N,02,SCHOOL DISTRICT (UNIFIED),21,0,1224825,1,0,0,11.446073224275901,1,5.137667304015296,13.543516748105658,0.4311309397351462,8.93902698109199,0.8492316408186389,0.07442815664612988,0.009843495503151336,6.438141774661851,0.020111890092769633,6.692160611854684e-4,6.692160611854684e-4,6.947100063734863e-4
30732,OTH,ME,NP,SO,Y,Y,02,OTHER,31,0,198413,1,0,0,3.1212091630873355,1,2.5898737472341535,1.239164388910582,0.1641936743459586,0.15365091761030847,0.13725107379929716,0.01864506052323311,0.003904724716907458,3.31722634387609,0.425907848496681,1.0380059872445658e-4,1.952362358453729e-4,1.246257972146297e-4
5265,PL2,ME,NP,SO,Y,Y,02,PLACE,21,0,198413,1,0,0,1.5620132953466286,0,4.911111111111111,6.998480531813865,0.08110161443494777,0.830389363722697,0.23076923076923078,0.014814814814814815,0.023171889838556507,5.224881291547958,0.001899335232668566,1.899335232668566e-4,3.798670465337132e-4,2.962962962962963e-4
23659,SU1,ME,NP,SO,Y,Y,02,SCHOOL DISTRICT (UNIFIED),21,0,198413,1,0,0,2.3077898474153598,0,1.2045310452681854,1.5662115896698932,0.08618284796483368,0.21268861743945222,0.09146624963016188,0.006340081998393846,0.005114332812037703,1.388266621581639,0.006086478718458092,9.932795130817025e-5,1.838623779534215e-4,5.0720655987150764e-5
7694,PL2,ME,NP,SO,Y,N,02,PLACE,21,0,198413,1,0,0,4.94515206654536,1,2.914088900441903,4.822978944632181,0.15505588770470496,0.6521965167663114,0.34923316870288534,0.018715882505848713,0.015466597348583312,3.438393553418248,0.020015596568754873,0,1.2997140629061605e-4,2.599428125812321e-4
12482,OTH,ME,NP,SO,Y,Y,02,OTHER,21,0,198413,1,0,0,2.7278481012658227,0,2.8247876942797627,2.9449607434705976,0.08900817176734498,0.3179778881589489,0.17104630668162155,0.010655343694920686,0.009453613203012337,3.099102707899375,0.01426053517064573,7.050152219195642e-5,2.203172568498638e-4,5.8484217272872936e-5
7764,OTH,ME,NP,SO,Y,N,02,OTHER,41,1,84472,1,0,0,0.9026275115919629,0,2.1218444100978875,4.734544049459042,0.012235960844925297,0.5104327666151468,0.08835651725914477,0,0.014940752189592994,2.2246264811952603,0.0021895929933024214,0,9.659969088098918e-5,1.6099948480164864e-4
16502,PL1,ME,NP,SO,Y,Y,02,PLACE,31,1,84472,1,0,0,1.2273057811174404,0,4.4225548418373535,2.227548175978669,0.027875409041328323,0.24051630105441765,0.048963761968246276,0,0.007090049690946552,4.499636407708157,2.4239486122894195e-4,0,9.695794449157679e-5,3.635922918434129e-4
62414,CO2,ME,OT,MO,Y,N,02,COUNTY,31,1,84472,1,0,1,1.06488928765982,0,0.42093120133303424,0.5889544012561284,0.04191367321434294,0.06349536962860897,0.06881468901208063,0,0.0018906014676194443,0.5412567693145769,0.009597205755119043,7.514339731470504e-5,1.2016534751818502e-4,1.9931425641682955e-4
10222,SU1,NO,NP,SO,Y,N,02,SCHOOL DISTRICT (UNIFIED),31,0,108503,1,0,0,1.8460183917041675,0,4.907258853453336,3.5960673058109958,0.11074153785951868,0.39874779886519274,0.19859127372334182,0,0.012130698493445509,5.2295049892388965,0.012913324202700058,1.3304637057327335e-4,2.670710232831149e-4,3.551164155742516e-4
14800,SU1,NO,NP,SO,Y,Y,02,SCHOOL DISTRICT (UNIFIED),32,0,108503,1,0,0,2.0755405405405405,0,2.2260135135135135,2.4837162162162163,0.15263513513513513,0.2681756756756757,0.2325,0,0.007905405405405406,2.6395945945945947,0.028445945945945947,6.283783783783784e-5,6.283783783783784e-5,1.7094594594594593e-4
10520,SU1,NO,NP,SO,Y,Y,02,SCHOOL DISTRICT (UNIFIED),31,0,108503,1,0,0,1.9583650190114068,0,2.8283269961977187,3.4942015209125477,0.17690114068441065,0.37728136882129276,0.13431558935361218,0,0.011121673003802282,3.1415399239543724,0.0019961977186311788,8.555133079847908e-5,8.555133079847908e-5,1.5494296577946766e-4
33635,OTH,NO,OT,MO,Y,Y,02,OTHER,21,0,108503,1,1,0,2.0165006689460383,0,2.6818492641593576,1.0928794410584213,0.1023338784004757,0.11800208116545266,0.1781774936821763,0,0.0034785193994351124,3.0011595064664784,0.03879887022446856,5.9461870075813886e-5,1.1892374015162777e-4,2.1852237252861602e-4
7979,OTH,ME,NP,SO,Y,N,02,OTHER,32,1,82001,1,0,0,1.1146760245644818,0,1.8071186865521995,0.288883318711618,0.08359443539290638,0.17646321594184736,0.06517107406943226,0.005890462463967916,0.015039478631407444,1.9724276225090864,0.01654342649454819,8.773029201654342e-5,8.773029201654342e-5,9.399674144629653e-5
3959,OTH,ME,NP,SO,Y,N,02,OTHER,32,1,82001,1,0,0,2.403637282141955,0,3.1166961353877243,0.585501389239707,0.06895680727456428,0.326850214700682,0.16140439504925486,0.014650164182874464,0.030310684516291993,3.348825460974994,0.0017681232634503663,0,1.3892397069967166e-4,1.465016418287446e-4
3271,OTH,ME,NP,SO,Y,N,02,OTHER,42,1,82001,1,0,0,1.3680831549984713,0,5.009171507184347,0.6771629471109752,0.0654234179150107,0.3760317945582391,0.3148884133292571,0.003974319779883827,0.03668602873738918,5.403852033017426,0.014368694588810762,0,2.904310608376643e-4,1.2228676245796394e-4
4930,OTH,ME,NP,SO,Y,N,02,OTHER,42,1,82001,1,0,0,1.3691683569979716,0,2.61947261663286,0.4509127789046653,0.13671399594320488,0.2306288032454361,0.163894523326572,0.004056795131845842,0.02434077079107505,2.9296146044624747,0.009533468559837728,0,1.5212981744421906e-4,1.176470588235294e-4
3766,OTH,ME,NP,SO,Y,N,02,OTHER,32,1,82001,1,0,0,2.687201274561869,0,3.5520446096654275,0.6048858204992034,0.0926712692511949,0.3677642060541689,0.19569835369091876,0.006372809346787042,0.03186404673393521,3.8579394583112054,0.017525225703664365,1.6728624535315985e-4,3.319171534784918e-4,3.0005310674455655e-4
13299,SU1,ME,NP,SO,Y,N,02,SCHOOL DISTRICT (UNIFIED),32,1,82001,1,0,0,2.5987668245732762,0,2.643958192345289,0.2223475449281901,0.05699676667418603,0.15038724716144072,0.1514399578915708,0.015113918339724792,0.009474396571170765,2.8648770584254457,0.012482141514399579,7.519362358072035e-5,3.007744943228814e-4,1.4136401233175427e-4
1528,CD1,NO,NP,SO,Y,Y,02,COUNTY SUBDIVISION,31,0,267571,1,0,0,4.210732984293194,1,9.313481675392671,14.37107329842932,0.19175392670157068,11.268979057591624,0.36976439790575916,1.3102094240837696,0.08769633507853403,9.882853403141361,0.007853403141361256,0,4.253926701570681e-4,4.253926701570681e-4
11422,OTH,NO,NP,SO,Y,Y,02,OTHER,32,0,267571,1,0,0,2.0402731570653128,0,5.151374540360707,1.9225179478199965,0.1754508842584486,1.5075293293643846,0.24549115741551392,0.17527578357555595,0.01173174575380844,5.6351777271931365,0.06286114515846612,8.317282437401505e-5,8.317282437401505e-5,5.034144633164069e-4
10635,SU1,NO,NP,SO,Y,Y,02,SCHOOL DISTRICT (UNIFIED),31,0,267571,1,0,0,1.9539257169722615,0,3.5266572637517632,2.064786083685943,0.19830747531734838,1.6190879172543489,0.11180065820404325,0.18824635637047485,0.012599905970850964,3.854160789844852,0.017395392571697227,8.46262341325811e-5,8.46262341325811e-5,3.5637047484720263e-4
6330,SU1,NO,NP,SO,Y,Y,02,SCHOOL DISTRICT (UNIFIED),32,0,267571,1,0,0,1.3600315955766193,0,4.002527646129542,3.4690363349131124,0.08009478672985781,2.7202211690363347,0.16714060031595576,0.3162717219589258,0.021484992101105844,4.2557661927330175,0.006003159557661927,0,1.579778830963665e-4,1.943127962085308e-4
