visits,interlibrary_relation_code,fscs_definition_code,overdue_policy,beac_code,locale_code,population_lsa,county_population,print_volumes,ebook_volumes,num_lib_branches,num_bookmobiles
8423,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Rural,6629,26988,20188,6689,0,0
20921,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Rural,9781,13101,18400,59905,0,0
8929,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Rural,13189,37952,31632,242,0,0
4500,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Southeast,Rural,6071,26988,10000,0,0,0
4500,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Southeast,Rural,158206,40677,48605,0,0,1
36362,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Town,14618,40677,30790,45354,1,0
18099,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Southeast,Rural,2998,40677,11421,58856,0,0
3721,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Rural,1281,10268,20091,0,0,0
142530,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Southeast,City,78564,183215,74262,6295,0,0
374390,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Southeast,City,31538,183215,42971,1281766,0,0
19462,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Suburb,17217,90441,32554,59289,0,0
575,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Southeast,Rural,351,10268,6399,0,0,0
12621,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Rural,4808,40677,33168,58856,0,0
27984,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Town,7190,90441,22468,64293,0,0
117530,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,City,90930,96814,85317,9527,0,0
17500,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Suburb,13233,58361,15863,6501,0,0
6235,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Southeast,Rural,4827,58361,7734,0,0,0
115000,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,City,20783,58361,46038,835974,0,0
15500,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Southeast,Suburb,13502,58361,45198,1073802,0,0
19746,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Town,19809,31802,26348,62008,0,0
5165,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Rural,1874,13661,13919,18,0,0
70664,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Town,107517,114654,74476,58856,0,0
79174,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,City,90875,125133,82720,61410,0,0
12720,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Suburb,23927,125133,32449,861645,0,0
14992,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Rural,30969,33502,20564,58996,0,0
6700,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Southeast,Town,106499,253507,7945,58989,0,1
124324,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,City,28777,253507,68062,58856,0,0
182348,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,City,23147,253507,72803,109078,0,0
111235,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Town,22063,253507,85969,59365,0,0
