Epoch 124/5000, Train Loss: 11704317952.0, Val Loss: 12824528896.0
Epoch 125/5000, Train Loss: 11695975424.0, Val Loss: 12825650176.0
Epoch 126/5000, Train Loss: 11687566336.0, Val Loss: 12808966144.0
Epoch 127/5000, Train Loss: 11678749696.0, Val Loss: 12820939776.0
Epoch 128/5000, Train Loss: 11669568512.0, Val Loss: 12814435328.0
Epoch 129/5000, Train Loss: 11660534784.0, Val Loss: 12813279232.0
Epoch 130/5000, Train Loss: 11650852864.0, Val Loss: 12825412608.0
Epoch 131/5000, Train Loss: 11641493504.0, Val Loss: 12808027136.0
Epoch 132/5000, Train Loss: 11632071680.0, Val Loss: 12830485504.0
Epoch 133/5000, Train Loss: 11623234560.0, Val Loss: 12807676928.0
Epoch 134/5000, Train Loss: 11613893632.0, Val Loss: 12810525696.0
Epoch 135/5000, Train Loss: 11603921920.0, Val Loss: 12785362944.0
Epoch 136/5000, Train Loss: 11593309184.0, Val Loss: 12760144896.0
Epoch 137/5000, Train Loss: 11582893056.0, Val Loss: 12745039872.0
Epoch 138/5000, Train Loss: 11572820992.0, Val Loss: 12713970688.0
Epoch 139/5000, Train Loss: 11562742784.0, Val Loss: 12706066432.0
Epoch 140/5000, Train Loss: 11552658432.0, Val Loss: 12684555264.0
Epoch 141/5000, Train Loss: 11542348800.0, Val Loss: 12677098496.0
Epoch 142/5000, Train Loss: 11531899904.0, Val Loss: 12667630592.0
Epoch 143/5000, Train Loss: 11521135616.0, Val Loss: 12663625728.0
Epoch 144/5000, Train Loss: 11510142976.0, Val Loss: 12658362368.0
Epoch 145/5000, Train Loss: 11498700800.0, Val Loss: 12662120448.0
Epoch 146/5000, Train Loss: 11486897152.0, Val Loss: 12648002560.0
Epoch 147/5000, Train Loss: 11474516992.0, Val Loss: 12651927552.0
Epoch 148/5000, Train Loss: 11461646336.0, Val Loss: 12628333568.0
Epoch 149/5000, Train Loss: 11449402368.0, Val Loss: 12624010240.0
Epoch 150/5000, Train Loss: 11437514752.0, Val Loss: 12602080256.0
Epoch 151/5000, Train Loss: 11425936384.0, Val Loss: 12586858496.0
Epoch 152/5000, Train Loss: 11414735872.0, Val Loss: 12567103488.0
Epoch 153/5000, Train Loss: 11403711488.0, Val Loss: 12548276224.0
Epoch 154/5000, Train Loss: 11391925248.0, Val Loss: 12526615552.0
Epoch 155/5000, Train Loss: 11380633600.0, Val Loss: 12538118144.0
Epoch 156/5000, Train Loss: 11369757696.0, Val Loss: 12480498688.0
Epoch 157/5000, Train Loss: 11361958912.0, Val Loss: 12572063744.0
Epoch 158/5000, Train Loss: 11354484736.0, Val Loss: 12468952064.0
Epoch 159/5000, Train Loss: 11337214976.0, Val Loss: 12511013888.0
Epoch 160/5000, Train Loss: 11319766016.0, Val Loss: 12522659840.0
Epoch 161/5000, Train Loss: 11308657664.0, Val Loss: 12452177920.0
Epoch 162/5000, Train Loss: 11298013184.0, Val Loss: 12478985216.0
Epoch 163/5000, Train Loss: 11280862208.0, Val Loss: 12431590400.0
Epoch 164/5000, Train Loss: 11260301312.0, Val Loss: 12379834368.0
Epoch 165/5000, Train Loss: 11239891968.0, Val Loss: 12406666240.0
Epoch 166/5000, Train Loss: 11213339648.0, Val Loss: 12351217664.0
Epoch 167/5000, Train Loss: 11182119936.0, Val Loss: 12330695680.0
Epoch 168/5000, Train Loss: 11161300992.0, Val Loss: 12360120320.0
Epoch 169/5000, Train Loss: 11146035200.0, Val Loss: 12307629056.0
Epoch 170/5000, Train Loss: 11125057536.0, Val Loss: 12291385344.0
Epoch 171/5000, Train Loss: 11105606656.0, Val Loss: 12284224512.0
Epoch 172/5000, Train Loss: 11089381376.0, Val Loss: 12214039552.0
Epoch 173/5000, Train Loss: 11073567744.0, Val Loss: 12196449280.0
Epoch 174/5000, Train Loss: 11058790400.0, Val Loss: 12186247168.0
Epoch 175/5000, Train Loss: 11045325824.0, Val Loss: 12127625216.0
Epoch 176/5000, Train Loss: 11031616512.0, Val Loss: 12138801152.0
Epoch 177/5000, Train Loss: 11017750528.0, Val Loss: 12079697920.0
Epoch 178/5000, Train Loss: 11004040192.0, Val Loss: 12052392960.0
Epoch 179/5000, Train Loss: 10988567552.0, Val Loss: 12044569600.0
Epoch 180/5000, Train Loss: 10974629888.0, Val Loss: 11954464768.0
Epoch 181/5000, Train Loss: 10958204928.0, Val Loss: 11940984832.0
Epoch 182/5000, Train Loss: 10935520256.0, Val Loss: 11896495104.0
Epoch 183/5000, Train Loss: 10918361088.0, Val Loss: 11877357568.0
Epoch 184/5000, Train Loss: 10906237952.0, Val Loss: 11894499328.0
Epoch 185/5000, Train Loss: 10898112512.0, Val Loss: 11877702656.0
Epoch 186/5000, Train Loss: 10886524928.0, Val Loss: 11879455744.0
Epoch 187/5000, Train Loss: 10870133760.0, Val Loss: 11859590144.0
Epoch 188/5000, Train Loss: 10853009408.0, Val Loss: 11823375360.0
Epoch 189/5000, Train Loss: 10837364736.0, Val Loss: 11828402176.0
Epoch 190/5000, Train Loss: 10821419008.0, Val Loss: 11804725248.0
Epoch 191/5000, Train Loss: 10811077632.0, Val Loss: 11792210944.0
Epoch 192/5000, Train Loss: 10800207872.0, Val Loss: 11787504640.0
Epoch 193/5000, Train Loss: 10786491392.0, Val Loss: 11760525312.0
Epoch 194/5000, Train Loss: 10770370560.0, Val Loss: 11732453376.0
Epoch 195/5000, Train Loss: 10753736704.0, Val Loss: 11707113472.0
Epoch 196/5000, Train Loss: 10738622464.0, Val Loss: 11667511296.0
Epoch 197/5000, Train Loss: 10726588416.0, Val Loss: 11639233536.0
Epoch 198/5000, Train Loss: 10714245120.0, Val Loss: 11632681984.0
Epoch 199/5000, Train Loss: 10701835264.0, Val Loss: 11602816000.0
Epoch 200/5000, Train Loss: 10688660480.0, Val Loss: 11599567872.0
Epoch 201/5000, Train Loss: 10675475456.0, Val Loss: 11594460160.0
Epoch 202/5000, Train Loss: 10661882880.0, Val Loss: 11574908928.0
Epoch 203/5000, Train Loss: 10648915968.0, Val Loss: 11578784768.0
Epoch 204/5000, Train Loss: 10636004352.0, Val Loss: 11540077568.0
Epoch 205/5000, Train Loss: 10624032768.0, Val Loss: 11547682816.0
Epoch 206/5000, Train Loss: 10613302272.0, Val Loss: 11496634368.0
Epoch 207/5000, Train Loss: 10600877056.0, Val Loss: 11475442688.0
Epoch 208/5000, Train Loss: 10586531840.0, Val Loss: 11455757312.0
Epoch 209/5000, Train Loss: 10573945856.0, Val Loss: 11412001792.0
Epoch 210/5000, Train Loss: 10561366016.0, Val Loss: 11411376128.0
Epoch 211/5000, Train Loss: 10549596160.0, Val Loss: 11388830720.0
Epoch 212/5000, Train Loss: 10538431488.0, Val Loss: 11375288320.0
Epoch 213/5000, Train Loss: 10526566400.0, Val Loss: 11374163968.0
Epoch 214/5000, Train Loss: 10515314688.0, Val Loss: 11349289984.0
Epoch 215/5000, Train Loss: 10503525376.0, Val Loss: 11323996160.0
Epoch 216/5000, Train Loss: 10491021312.0, Val Loss: 11298595840.0
Epoch 217/5000, Train Loss: 10479362048.0, Val Loss: 11266604032.0
Epoch 218/5000, Train Loss: 10470052864.0, Val Loss: 11267396608.0
Epoch 219/5000, Train Loss: 10459616256.0, Val Loss: 11240563712.0
Epoch 220/5000, Train Loss: 10449809408.0, Val Loss: 11197998080.0
Epoch 221/5000, Train Loss: 10439824384.0, Val Loss: 11179327488.0
Epoch 222/5000, Train Loss: 10431503360.0, Val Loss: 11117009920.0
Epoch 223/5000, Train Loss: 10422859776.0, Val Loss: 11124463616.0
Epoch 224/5000, Train Loss: 10411564032.0, Val Loss: 11107105792.0
Epoch 225/5000, Train Loss: 10401346560.0, Val Loss: 11096610816.0
Epoch 226/5000, Train Loss: 10393611264.0, Val Loss: 11102260224.0
Epoch 227/5000, Train Loss: 10385334272.0, Val Loss: 11054388224.0
Epoch 228/5000, Train Loss: 10374732800.0, Val Loss: 11047552000.0
Epoch 229/5000, Train Loss: 10366358528.0, Val Loss: 11010923520.0
Epoch 230/5000, Train Loss: 10358724608.0, Val Loss: 11008825344.0
Epoch 231/5000, Train Loss: 10349615104.0, Val Loss: 10995903488.0
Epoch 232/5000, Train Loss: 10340219904.0, Val Loss: 10988507136.0
Epoch 233/5000, Train Loss: 10333107200.0, Val Loss: 10971958272.0
Epoch 234/5000, Train Loss: 10325028864.0, Val Loss: 10929584128.0
Epoch 235/5000, Train Loss: 10316763136.0, Val Loss: 10902377472.0
Epoch 236/5000, Train Loss: 10309343232.0, Val Loss: 10853033984.0
Epoch 237/5000, Train Loss: 10304219136.0, Val Loss: 10899109888.0
Epoch 238/5000, Train Loss: 10298322944.0, Val Loss: 10840248320.0
Epoch 239/5000, Train Loss: 10292731904.0, Val Loss: 10900342784.0
Epoch 240/5000, Train Loss: 10285193216.0, Val Loss: 10816516096.0
Epoch 241/5000, Train Loss: 10275484672.0, Val Loss: 10839808000.0
Epoch 242/5000, Train Loss: 10267573248.0, Val Loss: 10813751296.0
Epoch 243/5000, Train Loss: 10258296832.0, Val Loss: 10783366144.0
Epoch 244/5000, Train Loss: 10254043136.0, Val Loss: 10799816704.0
Epoch 245/5000, Train Loss: 10249785344.0, Val Loss: 10718750720.0
Epoch 246/5000, Train Loss: 10243478528.0, Val Loss: 10755161088.0
Epoch 247/5000, Train Loss: 10235885568.0, Val Loss: 10705415168.0
Epoch 248/5000, Train Loss: 10225037312.0, Val Loss: 10724896768.0
Epoch 249/5000, Train Loss: 10218575872.0, Val Loss: 10724372480.0
Epoch 250/5000, Train Loss: 10211971072.0, Val Loss: 10686625792.0
Epoch 251/5000, Train Loss: 10206027776.0, Val Loss: 10687847424.0
Epoch 252/5000, Train Loss: 10201461760.0, Val Loss: 10633738240.0
Epoch 253/5000, Train Loss: 10196943872.0, Val Loss: 10658547712.0
Epoch 254/5000, Train Loss: 10193703936.0, Val Loss: 10578581504.0
Epoch 255/5000, Train Loss: 10189649920.0, Val Loss: 10616229888.0
Epoch 256/5000, Train Loss: 10184112128.0, Val Loss: 10571200512.0
Epoch 257/5000, Train Loss: 10173984768.0, Val Loss: 10562407424.0
Epoch 258/5000, Train Loss: 10169827328.0, Val Loss: 10593792000.0
Epoch 259/5000, Train Loss: 10165905408.0, Val Loss: 10563292160.0
Epoch 260/5000, Train Loss: 10155886592.0, Val Loss: 10590954496.0
Epoch 261/5000, Train Loss: 10151578624.0, Val Loss: 10590908416.0
Epoch 262/5000, Train Loss: 10147773440.0, Val Loss: 10550873088.0
Epoch 263/5000, Train Loss: 10141193216.0, Val Loss: 10547890176.0
Epoch 264/5000, Train Loss: 10134880256.0, Val Loss: 10526905344.0
Epoch 265/5000, Train Loss: 10128923648.0, Val Loss: 10492253184.0
Epoch 266/5000, Train Loss: 10123755520.0, Val Loss: 10496467968.0
Epoch 267/5000, Train Loss: 10117316608.0, Val Loss: 10486033408.0
